rank,track,artist
1,Bad Day,Daniel Powter
2,Temperature,Sean Paul
3,Promiscuous,Nelly Furtado Featuring Timbaland
4,You're Beautiful,James Blunt
5,Hips Don't Lie,Shakira Featuring Wyclef Jean
6,Unwritten,Natasha Bedingfield
7,Crazy,Gnarls Barkley
8,Ridin',Chamillionaire Featuring Krayzie Bone
9,SexyBack,Justin Timberlake
10,Check On It,Beyonce Featuring Slim Thug
11,Be Without You,Mary J. Blige
12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
13,Over My Head (Cable Car),The Fray
14,Me & U,Cassie
15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
16,Run It!,Chris Brown
17,So Sick,Ne-Yo
18,It's Goin' Down,Yung Joc
19,SOS,Rihanna
20,I Write Sins Not Tragedies,Panic! At The Disco
21,Move Along,The All-American Rejects
22,London Bridge,Fergie
23,Dani California,Red Hot Chili Peppers
24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
26,What Hurts The Most,Rascal Flatts
27,How To Save A Life,The Fray
28,Unfaithful,Rihanna
29,Chasing Cars,Snow Patrol
30,Lips Of An Angel,Hinder
31,Everytime We Touch,Cascada
32,Ain't No Other Man,Christina Aguilera
33,"Dance, Dance",Fall Out Boy
34,Gold Digger,Kanye West Featuring Jamie Foxx
35,Money Maker,Ludacris Featuring Pharrell
36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
38,Photograph,Nickelback
39,Because Of You,Kelly Clarkson
40,Stickwitu,The Pussycat Dolls
41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
42,My Humps,The Black Eyed Peas
43,Where'd You Go,Fort Minor Featuring Holly Brook
44,Yo (Excuse Me Miss),Chris Brown
45,Walk Away,Kelly Clarkson
46,Laffy Taffy,D4L
47,What You Know,T.I.
48,Dirty Little Secret,The All-American Rejects
49,Savin' Me,Nickelback
50,Don't Forget About Us,Mariah Carey
51,Sexy Love,Ne-Yo
52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
53,Far Away,Nickelback
54,What's Left Of Me,Nick Lachey
55,So What,Field Mob Featuring Ciara
56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
57,Black Horse & The Cherry Tree,KT Tunstall
58,There It Go! (The Whistle Song),Juelz Santana
59,Shoulder Lean,Young Dro Featuring T.I.
60,Unpredictable,Jamie Foxx Featuring Ludacris
61,My Love,Justin Timberlake Featuring T.I.
62,Shake That,Eminem Featuring Nate Dogg
63,Pullin' Me Back,Chingy Featuring Tyrese
64,Bossy,Kelis Featuring Too $hort
65,Chain Hang Low,Jibbs
66,Smack That,Akon Featuring Eminem
67,One Wish,Ray J
68,"Sugar, We're Goin' Down",Fall Out Boy
69,Gimme That,Chris Brown Featuring Lil Wayne
70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
71,Who Says You Can't Go Home,Bon Jovi
72,Too Little Too Late,JoJo
73,Touch It,Busta Rhymes
74,Rompe,Daddy Yankee
75,Deja Vu,Beyonce Featuring Jay Z
76,Life Is A Highway,Rascal Flatts
77,Call Me When You're Sober,Evanescence
78,"Jesus, Take The Wheel",Carrie Underwood
79,Show Stopper,Danity Kane
80,Get Up,Ciara Featuring Chamillionaire
81,We Be Burnin',Sean Paul
82,Hate Me,Blue October
83,You And Me,Lifehouse
84,Beep,The Pussycat Dolls Featuring will.i.am
85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
86,Say Goodbye,Chris Brown
87,Waiting On The World To Change,John Mayer
88,Soul Survivor,Young Jeezy Featuring Akon
89,Pump It,The Black Eyed Peas
90,When I'm Gone,Eminem
91,Hung Up,Madonna
92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
93,Love,Keyshia Cole
94,When You're Mad,Ne-Yo
95,Why You Wanna,T.I.
96,Stupid Girls,P!nk
97,Feel Good Inc,Gorillaz
98,I'm Sprung,T-Pain
99,Do I Make You Proud,Taylor Hicks
100,For You I Will (Confidence),Teddy Geiger
1,Irreplaceable,Beyonce
2,Umbrella,Rihanna Featuring Jay-Z
3,The Sweet Escape,Gwen Stefani Featuring Akon
4,Big Girls Don't Cry,Fergie
5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
6,Before He Cheats,Carrie Underwood
7,Hey There Delilah,Plain White T's
8,I Wanna Love You,Akon Featuring Snoop Dogg
9,Say It Right,Nelly Furtado
10,Glamorous,Fergie Featuring Ludacris
11,Don't Matter,Akon
12,Girlfriend,Avril Lavigne
13,Makes Me Wonder,Maroon 5
14,Party Like A Rockstar,Shop Boyz
15,Smack That,Akon Featuring Eminem
16,This Is Why I'm Hot,Mims
17,It's Not Over,Daughtry
18,The Way I Are,Timbaland Featuring Keri Hilson
19,Fergalicious,Fergie
20,Crank That (Soulja Boy),Soulja Boy Tell'em
21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
22,What Goes Around...Comes Around,Justin Timberlake
23,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump
24,How To Save A Life,The Fray
25,Home,Daughtry
26,My Love,Justin Timberlake Featuring T.I.
27,Stronger,Kanye West
28,We Fly High,Jim Jones
29,U + Ur Hand,P!nk
30,Walk It Out,Unk
31,Beautiful Girls,Sean Kingston
32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy
33,Bartender,T-Pain Featuring Akon
34,"Pop, Lock & Drop It",Huey
35,Runaway Love,Ludacris Featuring Mary J. Blige
36,Rockstar,Nickelback
37,Thnks Fr Th Mmrs,Fall Out Boy
38,What I've Done,Linkin Park
39,Summer Love,Justin Timberlake
40,You,Lloyd Featuring Lil Wayne
41,Wait For You,Elliott Yamin
42,Last Night,Diddy Featuring Keyshia Cole
