,id,isrc,track,artists,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0mUyMawtxj1CJ76kn9gIZK,USWB10401971,Bad Day,['Daniel Powter'],Daniel Powter,2005-02-22,2005,233640,False,78,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046
1,0k2GOhqsrxDTAbFFSdNJjT,USAT20505520,Temperature,['Sean Paul'],The Trinity,2005-09-26,2005,218573,False,83,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04
2,2gam98EZKrF9XuOkU13ApN,USUM70603473,Promiscuous,"['Nelly Furtado', 'Timbaland']",Loose,2006-01-01,2006,242293,False,87,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
3,0vg4WnUWvze6pBOJDTq99k,USAT20401588,You're Beautiful,['James Blunt'],Back to Bedlam,2005-08-08,2005,209493,True,79,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998
4,3ZFTkvIE7kyPt6Nu3PEa7V,USSM10600677,Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,2005,218093,False,87,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024
5,3U5JVgI2x4rDyHGObzJfNf,GBARL0400707,Unwritten,['Natasha Bedingfield'],Unwritten,2004-08-30,2004,259333,False,92,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011
6,2N5zMZX7YeL1tico8oQxa9,USAT20611041,Crazy,['Gnarls Barkley'],St. Elsewhere,2006-05-02,2006,182066,False,76,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963
7,3kZoay4ANo86ehb6s4RwS9,USUM70503088,Ridin',"['Chamillionaire', 'Krayzie Bone']",The Sound of Revenge,2005-01-01,2005,303053,True,72,0.787,0.799,8,-4.68,0,0.0993,0.189,0.0,0.3,0.835,143.052
8,0O45fw2L5vsWpdsOdXwNAR,USJI10600269,SexyBack (feat. Timbaland),"['Justin Timberlake', 'Timbaland']",FutureSex/LoveSounds,2006-09-12,2006,242733,True,82,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0
9,0O45fw2L5vsWpdsOdXwNAR,USJI10600269,SexyBack (feat. Timbaland),"['Justin Timberlake', 'Timbaland']",FutureSex/LoveSounds,2006-09-12,2006,242733,True,82,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0
