,id,isrc,track,artists,album,release_date,release_year,length_ms,explicit,popularity
0,0mUyMawtxj1CJ76kn9gIZK,USWB10401971,Bad Day,['Daniel Powter'],Daniel Powter,2005-02-22,2005,233640,False,78
1,0k2GOhqsrxDTAbFFSdNJjT,USAT20505520,Temperature,['Sean Paul'],The Trinity,2005-09-26,2005,218573,False,83
2,2gam98EZKrF9XuOkU13ApN,USUM70603473,Promiscuous,"['Nelly Furtado', 'Timbaland']",Loose,2006-01-01,2006,242293,False,87
3,0vg4WnUWvze6pBOJDTq99k,USAT20401588,You're Beautiful,['James Blunt'],Back to Bedlam,2005-08-08,2005,209493,True,79
4,3ZFTkvIE7kyPt6Nu3PEa7V,USSM10600677,Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,2005,218093,False,87
5,3U5JVgI2x4rDyHGObzJfNf,GBARL0400707,Unwritten,['Natasha Bedingfield'],Unwritten,2004-08-30,2004,259333,False,92
6,2N5zMZX7YeL1tico8oQxa9,USAT20611041,Crazy,['Gnarls Barkley'],St. Elsewhere,2006-05-02,2006,182066,False,76
7,3kZoay4ANo86ehb6s4RwS9,USUM70503088,Ridin',"['Chamillionaire', 'Krayzie Bone']",The Sound of Revenge,2005-01-01,2005,303053,True,72
8,0O45fw2L5vsWpdsOdXwNAR,USJI10600269,SexyBack (feat. Timbaland),"['Justin Timberlake', 'Timbaland']",FutureSex/LoveSounds,2006-09-12,2006,242733,True,82
9,2RWxrpsFshOBFwRBRstUlQ,USSM10600137,Check On It (feat. Bun B & Slim Thug),"['Beyoncé', 'Bun B', 'Slim Thug']",B'Day,2006-09-04,2006,210453,False,62
10,6Y3WvyUG9iE5bQYg38SPtQ,USUM70505512,Be Without You - Kendu Mix,['Mary J. Blige'],The Breakthrough,2005-01-01,2005,246333,True,71
