playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Country,0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),['John Michael Montgomery'],John Michael Montgomery,1995-03-17,1995,152186,False,72,0.771,0.848,2,-7.365,1,0.035,0.108,0.0,0.35,0.803,115.642
The Sound of Country,2ulBBx6YQ3qY3ci34RadtN,She's In Love With The Boy - Single Version,['Trisha Yearwood'],Trisha Yearwood,1991-01-01,1991,248200,False,71,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996
The Sound of Country,3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,['Travis Tritt'],Down The Road I Go,2000-10-01,2000,241533,False,74,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93
The Sound of Country,6Lmx6bz3PGYuNSjKMnYBOa,"Heads Carolina, Tails California",['Jo Dee Messina'],JoDee Messina,1996-04-02,1996,209760,False,71,0.607,0.815,4,-6.619,1,0.039,0.0471,2.81e-05,0.111,0.57,136.949
The Sound of Country,1nVoLxz8C0uGgMKfywy0vf,Independence Day,['Martina McBride'],The Way That I Am,1993-09-12,1993,204626,False,64,0.712,0.63,9,-6.202,1,0.0299,0.257,6.65e-05,0.0999,0.768,118.378
The Sound of Country,26bL4gSULWDgdIMX0pRFrG,Redneck Woman,['Gretchen Wilson'],Here For The Party,2004-05-11,2004,221333,False,67,0.499,0.825,6,-5.146,1,0.177,0.13,0.0,0.306,0.753,185.069
The Sound of Country,1jGLlz5SDLRxnq4Tv6ydAQ,Killin' Time,['Clint Black'],Killin' Time,1989-05-02,1989,167933,False,66,0.711,0.491,7,-10.323,1,0.0295,0.381,9.12e-06,0.249,0.671,121.294
The Sound of Country,0FtV0YbnnjD7PXpLHFHPhn,Fancy,['Reba McEntire'],Rumor Has It,1990-01-01,1990,299733,False,68,0.674,0.517,11,-11.225,1,0.0726,0.226,0.0,0.0697,0.482,94.98
The Sound of Country,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,['Lee Ann Womack'],I Hope You Dance,2000-01-01,2000,294533,False,66,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278
The Sound of Country,7lUE02KHkZM44BZgjCaWRO,Meet In the Middle,['Diamond Rio'],Diamond Rio,1991-07-01,1991,198333,False,69,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11
The Sound of Country,29V94tQgMoSJjbzuTliPj6,Better Things To Do,['Terri Clark'],Terri Clark,1995-01-01,1995,188133,False,57,0.569,0.782,10,-5.868,1,0.0491,0.105,0.0,0.13,0.595,150.631
The Sound of Country,1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",['Randy Travis'],Always & Forever,1987-05-04,1987,212640,False,76,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392
The Sound of Country,19zb0fxeiJqCLYHj6L8iYG,Suds in the Bucket,['Sara Evans'],Restless,2003-01-01,2003,227266,False,45,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992
The Sound of Country,6BkK5Dsu1kTne7Cn6EyYex,Why Not Me,['The Judds'],Why Not Me,1984-10-15,1984,211266,False,66,0.732,0.667,10,-9.278,1,0.0278,0.502,4.07e-06,0.0524,0.727,125.6
The Sound of Country,3Q9t1A12iUemHTAWnH7PjD,Watermelon Crawl,['Tracy Byrd'],No Ordinary Man,1994-01-01,1994,181973,False,70,0.759,0.723,0,-9.315,1,0.028,0.173,0.0,0.179,0.962,136.746
The Sound of Country,5s7m2xNZWgz5FqVSIvJcGA,Save a Horse (Ride a Cowboy),['Big & Rich'],Horse of a Different Color,2004-04-20,2004,200306,False,72,0.7,0.896,2,-2.276,1,0.191,0.108,0.0,0.453,0.817,102.065
The Sound of Country,1mICUTQCbRkAvGmO0cwoAz,Blame It on Your Heart,['Patty Loveless'],Only What I Feel,1993-04-20,1993,213693,False,57,0.624,0.808,8,-7.739,1,0.0472,0.643,0.0,0.0914,0.88,149.522
The Sound of Country,5kUs3EVHCalJewyv29ozfx,Delta Dawn,['Tanya Tucker'],Would You Lay With Me (In a Field of Stone),1974-02-22,1974,175093,False,61,0.621,0.415,5,-11.74,1,0.0345,0.701,0.0,0.366,0.673,77.99
The Sound of Country,2uX5f3x2cObov0iDAPln4o,Song of the South,['Alabama'],Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,1980-01-01,1980,190800,False,71,0.486,0.633,9,-8.414,1,0.0365,0.176,0.0,0.312,0.669,162.158
The Sound of Country,5Pgwi0iizu96RHxJ4xL3SH,Strawberry Wine,['Deana Carter'],Did I Shave My Legs For This?,1996-01-01,1996,291533,False,69,0.572,0.449,1,-6.566,1,0.0264,0.314,0.0,0.0301,0.207,122.632
The Sound of Country,6qc34bnVOyqGDPni8H5W0U,Amazed,['Lonestar'],Lonely Grill,1999-01-01,1999,240866,False,72,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803
The Sound of Country,2TIEeLrOQrGnO2D2OeDDJu,Time Marches On,['Tracy Lawrence'],Time Marches On,1996-01-02,1996,185360,False,69,0.856,0.517,6,-9.232,0,0.0293,0.563,0.000164,0.144,0.479,118.399
The Sound of Country,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,['Brooks & Dunn'],#1s ... and then some,2009-09-08,2009,263760,False,74,0.698,0.632,9,-6.508,1,0.0247,0.554,0.0,0.118,0.458,102.408
The Sound of Country,6WLhSTndp8gFqVn4uWwnRk,Burnin' Love (from the motion picture Lilo & Stitch),['Wynonna'],What The World Needs Now Is Love,2003-08-05,2003,192266,False,55,0.638,0.885,8,-4.171,1,0.0561,0.0597,5.65e-06,0.094,0.861,148.951
The Sound of Country,07pkQLjLQFFukRAYHSgoxX,Where I Come From,['Montgomery Gentry'],Rebels On The Run,2011-10-14,2011,201840,False,69,0.62,0.851,1,-4.203,1,0.0308,0.0105,4.53e-06,0.279,0.478,90.038
The Sound of Country,5EYWGM3Ns3iYew8ws0FatB,This Kiss,['Faith Hill'],Faith,1998-04-10,1998,194306,False,71,0.398,0.804,11,-5.559,1,0.0451,0.175,0.0,0.181,0.709,186.752
The Sound of Country,37JPdGgYcQAJSElj5boJx8,Some Girls Do,['Sawyer Brown'],The Dirt Road,1992-01-06,1992,194320,False,69,0.64,0.852,2,-6.406,1,0.028,0.0907,0.0,0.151,0.903,139.949
The Sound of Country,7s2NbKcFIJuEQumhvtHTAD,You've Got to Stand for Something,['Aaron Tippin'],You've Got to Stand for Something,1991-01-29,1991,182280,False,62,0.533,0.585,4,-9.789,1,0.0337,0.199,0.0,0.11,0.472,83.403
The Sound of Country,0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,['Sugarland'],The Incredible Machine,2010-01-01,2010,247586,False,65,0.702,0.795,1,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961
The Sound of Country,2iCJEYdoYbCxFoUg8759nm,Except for Monday,['Lorrie Morgan'],Something In Red,1991-04-09,1991,176040,False,55,0.658,0.6,7,-11.984,1,0.0326,0.0818,3.52e-06,0.0637,0.886,170.114
The Sound of Country,3VffiMehjhfqo7XZ5zGpCP,Wink,['Neal McCoy'],No Doubt About It,1994-01-18,1994,162466,False,60,0.708,0.852,4,-6.177,1,0.0302,0.0761,0.0,0.172,0.93,117.644
The Sound of Country,7Efs0OIW6zgQyH7ehKZYpN,You're Gonna Miss This,['Trace Adkins'],American Man: Greatest Hits Vol. II,2007-12-04,2007,224960,False,66,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997
The Sound of Country,3wjD3Ufjll7UKrEDPdGuX3,Maybe It Was Memphis,['Pam Tillis'],Put Yourself In My Place,1990-01-01,1990,239173,False,61,0.495,0.695,9,-6.929,1,0.0318,0.437,0.00048,0.0734,0.496,73.656
The Sound of Country,60w5eL1G4Or7LlTSrR5r8a,Pickup Man,['Joe Diffie'],Third Rock From The Sun,1994-07-26,1994,216200,False,65,0.713,0.692,7,-8.554,1,0.0365,0.432,0.0,0.271,0.884,140.561
The Sound of Country,11qh54D0PKkBwelpDxxiEU,Girl Crush,['Little Big Town'],Pain Killer,2014-10-21,2014,193320,False,71,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788
The Sound of Country,7xKMmZ5S4z8YtATuzVYmpQ,God Blessed Texas,['Little Texas'],God Blessed Texas: The Singles 1992-1996,2020-09-25,2020,208733,False,58,0.648,0.766,9,-8.514,1,0.0326,0.232,1.54e-05,0.121,0.971,128.797
The Sound of Country,0158TMiGmHyibaDeaUKayX,She Won't Be Lonely Long,['Clay Walker'],She Won't Be Lonely Long,2010-06-08,2010,209253,False,68,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002
The Sound of Country,6IC6VhpV7D8T1t037Atqpu,Tequila Makes Her Clothes Fall Off,['Joe Nichols'],III,2005-01-01,2005,187053,False,71,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968
The Sound of Country,4TJUS843fKiqqIzycM74Oy,Should've Been A Cowboy,['Toby Keith'],Toby Keith,1993-04-20,1993,211306,False,79,0.618,0.672,7,-7.92,1,0.0353,0.441,1.49e-06,0.214,0.705,133.439
The Sound of Country,7dFSHwa7BNZvWlOuYsvFpy,Red High Heels,['Kellie Pickler'],Small Town Girl,2006-10-31,2006,222853,False,54,0.626,0.842,5,-3.74,1,0.0337,0.13,0.0,0.0734,0.54,115.72
The Sound of Country,0PsBdKWnOQGMo9smobflvy,Bubba Shot The Jukebox,['Mark Chesnutt'],Longnecks & Short Stories,1992-01-01,1992,185840,False,63,0.544,0.648,7,-8.454,1,0.0549,0.307,0.0,0.0843,0.866,165.484
The Sound of Country,2oyS4THTUzUxT2lnHGzzIr,She Don't Know She's Beautiful,['Sammy Kershaw'],Haunted Heart,1993-03-09,1993,174626,False,67,0.764,0.646,9,-9.424,1,0.0302,0.367,0.0,0.0849,0.877,116.141
The Sound of Country,0e05wFNr6zg1ULcp4NKs1p,Two Dozen Roses,['Shenandoah'],Now And Then,1996-01-01,1996,204333,False,71,0.687,0.648,4,-9.137,1,0.027,0.314,1.37e-06,0.289,0.6,121.341
The Sound of Country,6iblnklMzUKIXAtjk5lzIy,Whiskey Lullaby (feat. Alison Krauss),"['Brad Paisley', 'Alison Krauss']",Mud On The Tires,2003-01-01,2003,259893,False,67,0.52,0.333,2,-11.508,1,0.0302,0.816,0.0,0.188,0.198,74.165
The Sound of Country,0uZRJmWi1TH3wrAN7hAbyF,Guys Do It All the Time,['Mindy McCready'],Ten Thousand Angels,1996-04-30,1996,191800,False,53,0.551,0.794,0,-5.995,1,0.0341,0.0594,2.01e-05,0.231,0.587,165.813
The Sound of Country,0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,['David Lee Murphy'],Out With A Bang,1994-01-01,1994,224666,False,72,0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.942
The Sound of Country,5ZX3IrB9tPxOoBZdXILNpy,Little Good-Byes,['SHeDAISY'],The Whole Shebang,1999-01-01,1999,200693,False,45,0.56,0.692,1,-6.438,1,0.0302,0.112,0.0,0.0638,0.698,83.588
The Sound of Country,6leiB1fEsTnVCuPiielde5,Something Like That,['Tim McGraw'],A Place In The Sun,1999-05-04,1999,183733,False,75,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8
The Sound of Country,2G6pvEfrwrJZS6NgqS3DqX,Don't Let Our Love Start Slippin' Away,['Vince Gill'],I Still Believe In You,1992-01-01,1992,224800,False,61,0.736,0.719,3,-9.311,1,0.0313,0.42,0.000851,0.35,0.657,113.228
The Sound of Country,2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,['Rascal Flatts'],Me And My Gang,2006-01-01,2006,276320,False,76,0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027
The Sound of Country,4u26EevCNXMhlvE1xFBJwX,If I Die Young,['The Band Perry'],The Band Perry,2010-01-01,2010,222773,False,70,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739
