playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Dance Pop,66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,"['Gwen Stefani', 'Akon']",The Sweet Escape,2006-01-01,2006,246466,False,77,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961
The Sound of Dance Pop,11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,['Christina Aguilera'],Christina Aguilera (Expanded Edition),1999-01-01,1999,217573,False,78,0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716
The Sound of Dance Pop,6dgWWAs5yhWPOtvE1zuoQ1,Big Girls Don't Cry (Personal),['Fergie'],The Dutchess,2006-09-13,2006,268120,False,75,0.708,0.641,7,-4.271,1,0.0335,0.205,0.0,0.0925,0.253,113.082
The Sound of Dance Pop,6I9VzXrHxO9rA9A5euc8Ak,Toxic,['Britney Spears'],In The Zone,2003-11-13,2003,198800,False,86,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
The Sound of Dance Pop,3C0nOe05EIt1390bVABLyN,On The Floor,"['Jennifer Lopez', 'Pitbull']",Love?,2011-04-29,2011,284866,False,83,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0
The Sound of Dance Pop,0BxfFnk0YzONqvmrkO0QrB,Don't Cha,"['The Pussycat Dolls', 'Busta Rhymes']",PCD,2005-01-01,2005,272080,False,76,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54e-06,0.127,0.549,120.003
The Sound of Dance Pop,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,['Spice Girls'],Spice,1996-01-01,1996,173026,False,84,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008
The Sound of Dance Pop,2gam98EZKrF9XuOkU13ApN,Promiscuous,"['Nelly Furtado', 'Timbaland']",Loose,2006-01-01,2006,242293,False,87,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
The Sound of Dance Pop,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,['Kesha'],Animal (Expanded Edition),2010-01-01,2010,199693,False,86,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028
The Sound of Dance Pop,2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,"['will.i.am', 'Britney Spears']",#willpower,2013-01-01,2013,283400,True,82,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033
The Sound of Dance Pop,2bLqfJjuC5syrsgDsZfGmn,The Way I Are,"['Timbaland', 'Keri Hilson', 'D.O.E.']",Shock Value,2007-01-01,2007,179120,False,87,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759
The Sound of Dance Pop,7oGZAicScQt96OAW4AruYy,Want to Want Me,['Jason Derulo'],Everything Is 4,2015-05-29,2015,207719,False,80,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025
