playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Hip Hop,0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,['Nas'],Illmatic,1994-04-19,1994,293973,True,76,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099
The Sound of Hip Hop,119c93MHjrDLJTApCVGpvx,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","['Wu-Tang Clan', 'Method Man', 'Raekwon', 'Inspectah Deck', 'Buddha Monk']",Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09,1993,252026,True,78,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985
The Sound of Hip Hop,0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,['Mos Def'],Black On Both Sides,1999-10-12,1999,223546,True,72,0.782,0.589,1,-4.827,1,0.189,0.148,0.0,0.164,0.869,90.438
The Sound of Hip Hop,48ZUwXrEOhaXLCxvmRYhZv,Don't Sweat The Technique,['Eric B. & Rakim'],Don't Sweat The Technique,1992-06-23,1992,262800,False,63,0.737,0.89,4,-8.443,1,0.158,0.00556,0.00171,0.0801,0.809,105.848
The Sound of Hip Hop,3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,['A Tribe Called Quest'],People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),1990-04-17,1990,251573,False,74,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662
The Sound of Hip Hop,3Y6XWs8xMlCngyIxNOFnsp,Sound of da Police,['KRS-One'],Return of the Boom Bap,1993-09-03,1993,258506,False,66,0.794,0.95,1,-8.78,1,0.294,0.124,7.71e-05,0.133,0.324,94.984
The Sound of Hip Hop,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,['Outkast'],Speakerboxxx/The Love Below,2003-01-01,2003,235213,False,85,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526
The Sound of Hip Hop,33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",['Mobb Deep'],The Infamous,1995-04-25,1995,325506,True,80,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857
The Sound of Hip Hop,4xQMFoD33vx6stB1UzfA6s,Eye Know,"['De La Soul', 'Otis Redding']",3 Feet High and Rising,1989-03-03,1989,252671,False,60,0.838,0.809,1,-7.989,1,0.0512,0.177,3.17e-06,0.0792,0.854,109.325
The Sound of Hip Hop,5YpZh8wfS4moRBk0ijNcXr,Harder Than You Think,['Public Enemy'],How You Sell Soul to a Soulless People Who Sold Their Soul?,2007-08-07,2007,249521,False,66,0.484,0.852,11,-4.442,0,0.274,0.0317,0.0,0.0547,0.766,103.578
