playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Modern Rock,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,['Cage The Elephant'],Melophobia,2013-10-08,2013,208760,False,82,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98
The Sound of Modern Rock,77KnJc8o5G1eKVwX5ywMeZ,Mind Over Matter (Reprise),['Young the Giant'],Mirrorball / Mind Over Matter (Reprise),2015-04-18,2015,230866,False,80,0.393,0.487,0,-6.348,1,0.0337,0.229,0.0,0.128,0.3,151.958
The Sound of Modern Rock,3omXshBamrREltcf24gYDC,First,['Cold War Kids'],Hold My Home,2014-10-31,2014,200360,False,73,0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39e-06,0.523,0.561,78.009
The Sound of Modern Rock,2DrGEaqoruCSn0FffWCf5O,A-Punk,['Vampire Weekend'],Vampire Weekend,2008-01-27,2008,137760,False,75,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917
The Sound of Modern Rock,3GBApU0NuzH4hKZq4NOSdA,What You Know,['Two Door Cinema Club'],Tourist History,2010-02-17,2010,191706,False,78,0.563,0.739,6,-4.239,0,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0
The Sound of Modern Rock,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,['Foster The People'],Torches,2011-05-23,2011,239600,False,86,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975
The Sound of Modern Rock,04caEZhAsQKnWqKsMwk9ud,My Number,['Foals'],Holy Fire,2013-01-31,2013,238853,False,71,0.639,0.715,6,-8.954,0,0.0392,0.0243,0.000552,0.619,0.813,128.072
The Sound of Modern Rock,5iItYl3Q6wCnKVfpK1uNVf,The Suburbs,['Arcade Fire'],The Suburbs (Deluxe),2010-07-01,2010,315026,False,69,0.619,0.686,6,-6.125,0,0.0265,0.0565,0.0237,0.142,0.538,117.777
The Sound of Modern Rock,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,['Kings of Leon'],Only By The Night,2008-09-23,2008,203346,False,85,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398
The Sound of Modern Rock,3SUtJ2RcP0jrsugMXrQMrU,Banquet,['Bloc Party'],Silent Alarm,2005-01-01,2005,200360,False,36,0.577,0.933,10,-4.901,0,0.0503,0.000147,0.0174,0.0867,0.866,150.247
The Sound of Modern Rock,3MjrueDQKVr6xDDseZwhEd,Figure It Out,['Royal Blood'],Royal Blood,2014-08-22,2014,183602,False,70,0.658,0.814,0,-4.631,1,0.0558,0.229,0.00676,0.216,0.69,108.016
The Sound of Modern Rock,4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,['MGMT'],Oracular Spectacular,2007-12-14,2007,261000,True,83,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99
The Sound of Modern Rock,7ueP5u2qkdZbIPN2YA6LR0,Sail,['AWOLNATION'],Megalithic Symphony,2011-03-15,2011,259093,False,77,0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051
The Sound of Modern Rock,04aAxqtGp5pv12UXAg4pkq,Centuries,['Fall Out Boy'],American Beauty/American Psycho,2015-01-20,2015,228360,False,84,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042
The Sound of Modern Rock,4absiGHMelB8eH976ytjBj,Evil,['Interpol'],Antics,2004-09-27,2004,215826,False,69,0.489,0.769,5,-3.524,1,0.038,0.00135,0.56,0.0727,0.637,128.985
The Sound of Modern Rock,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,['The Killers'],Hot Fuss,2004-01-01,2004,222973,False,90,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
The Sound of Modern Rock,3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,['alt-J'],An Awesome Wave,2012-09-18,2012,227080,False,75,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093
The Sound of Modern Rock,2YmJZWGcy0yONMCsEKOuVD,Overcome,['Nothing But Thieves'],Dead Club City,2023-06-30,2023,214723,False,70,0.413,0.876,11,-4.577,1,0.057,0.000938,0.000104,0.387,0.341,164.08
The Sound of Modern Rock,5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,['The Black Keys'],El Camino,2011-12-06,2011,193653,False,81,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3
The Sound of Modern Rock,0GO8y8jQk1PkHzS31d699N,Tongue Tied,['GROUPLOVE'],Never Trust a Happy Song,2011-09-02,2011,218013,False,84,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96
The Sound of Modern Rock,1MHYAqWWdDRePmnqORynrq,Kathleen,['Catfish and the Bottlemen'],The Balcony,2014-09-15,2014,160886,False,71,0.489,0.892,11,-4.757,0,0.0786,0.000369,0.00293,0.411,0.598,137.93
The Sound of Modern Rock,3b00LSFIRqnHvkoDEs5fkg,Float On,['Modest Mouse'],Good News For People Who Love Bad News,2004-01-01,2004,208466,False,42,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975
The Sound of Modern Rock,2MLHyLy5z5l5YRp7momlgw,Island In The Sun,['Weezer'],Weezer,2001-05-15,2001,200306,False,82,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623
The Sound of Modern Rock,5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,['The Strokes'],The New Abnormal,2020-04-10,2020,309053,False,83,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959
The Sound of Modern Rock,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,2013,183956,False,96,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
The Sound of Modern Rock,20I8RduZC2PWMWTDCZuuAN,Take Me Out,['Franz Ferdinand'],Franz Ferdinand,2004-02-16,2004,237026,False,83,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561
The Sound of Modern Rock,7BHPGtpuuWWsvE7cCaMuEU,Naive,['The Kooks'],Inside In / Inside Out,2006-01-01,2006,203506,False,80,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304
The Sound of Modern Rock,1fDFHXcykq4iw8Gg7s5hG9,About You,['The 1975'],Being Funny In A Foreign Language,2022-10-14,2022,326490,False,84,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967
The Sound of Modern Rock,0lP4HYLmvowOKdsQ7CVkuq,The Kill,['Thirty Seconds To Mars'],A Beautiful Lie,2005-01-01,2005,231533,False,82,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99
The Sound of Modern Rock,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,['Twenty One Pilots'],Blurryface,2015-05-15,2015,202333,False,88,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
The Sound of Modern Rock,0fYVliAYKHuPmECRs1pbRf,Renegades,['X Ambassadors'],VHS,2015-06-30,2015,195200,False,80,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052
The Sound of Modern Rock,4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,['Passion Pit'],Gossamer,2012-07-23,2012,264493,False,69,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006
The Sound of Modern Rock,1tTV7mRV9uB2Nr9VcwkuFX,Greek Tragedy,['The Wombats'],Glitterbug,2015-01-13,2015,209557,False,61,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01e-06,0.21,0.452,93.24
The Sound of Modern Rock,6y20BV5L33R8YXM0YuI38N,No One Knows,['Queens of the Stone Age'],Songs For The Deaf,2002-01-01,2002,278746,False,75,0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411
The Sound of Modern Rock,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,['Foo Fighters'],The Colour And The Shape,1997-05-20,1997,250546,False,87,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066
The Sound of Modern Rock,1rqqCSm0Qe4I9rUvWncaom,High Hopes,['Panic! At The Disco'],Pray for the Wicked,2018-06-22,2018,190946,False,84,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014
The Sound of Modern Rock,7j31rVgGX9Q2blT92VBEA0,Teenagers,['My Chemical Romance'],The Black Parade,2006-10-23,2006,161920,False,84,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
The Sound of Modern Rock,0wDEiGfq4pw7FAkYKpkwMo,Trojans,['Atlas Genius'],When It Was Now,2013-02-18,2013,217386,False,60,0.721,0.822,7,-4.843,1,0.0391,0.0113,7.01e-05,0.0898,0.536,140.002
The Sound of Modern Rock,6Ca3uEAuun3HusTUiIXKs1,If You Wanna,['The Vaccines'],What Did You Expect from The Vaccines?,2011-03-14,2011,174013,False,66,0.353,0.866,2,-3.274,1,0.0392,3.03e-05,3e-05,0.295,0.544,165.215
The Sound of Modern Rock,6IY3cC281mz9q0bViUEldz,It's A Trip!,['Joywave'],Content,2017-07-28,2017,183524,False,61,0.673,0.716,8,-4.982,0,0.0291,0.088,0.00256,0.209,0.727,97.925
