,genre,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
0,country,0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),['John Michael Montgomery'],John Michael Montgomery,1995-03-17,1995,152186,False,72,0.7709999999999999,0.848,2,-7.365,1,0.035,0.10800000000000001,0.0,0.35,0.8029999999999999,115.64200000000001,"5 ContributorsSold (The Grundy County Auction Incident) Lyrics[Verse 1]
Well I went down to the Grundy County Auction
Where I saw something I just had to have
My mind told me I should proceed with caution
But my heart said go ahead and make a bid on that

[Chorus]
And I said hey pretty lady won't you gimme a sign
I'd give anything to make you mine all mine
I'll do your biddin' and be at your beck and call
Yeah I've never seen anyone lookin' so fine
Man I gotta have her she's a one of a kind
I'm goin' once, goin' twice
I'm sold on the lady in the second row
She's an eight, she's a nine, she's a ten I know
She's got ruby red lips, blond hair, blue eyes
And I'm about to bid my heart goodbye

[Verse 2]
Well the auctioneer was goin' 'bout a mile a minute
He was takin' bids and callin' them out loud
And I guess I was really gettin' in it
Cause I just shouted out above the crowd

[Chorus]
And I said hey pretty lady won't you gimme a sign
I'd give anything to make you mine all mine
I'll do your biddin' and be at your beck and call
Yeah I've never seen anyone lookin' so fine
Man I gotta have her, she's a one of a kind
I'm goin' once, goin' twice
I'm sold on the lady in the long black dress
Well she won my heart it was no contest
With her ruby red lips, blond hair, blue eyes
Well I'm about to bid my heart goodbye
You might also like[Verse 3]
Yeah we found love on the auction block
And I hauled her heart away
Now we still love to laugh about
The way we met that day

[Chorus]
When I said hey pretty lady won't you gimme a sign
I'd give anything to make you mine all mine
I'll do your biddin' and be at your beck and call
Yeah I've never seen anyone lookin' so fine
Man I gotta have her she's a one of a kind
I'm goin' once, goin' twice
I'm sold on the lady in the second row
She's an eight, she's a nine, she's a ten I know
She's got ruby red lips, blond hair, blue eyes
And I'm about to bid my heart goodbyeEmbed"
1,country,2ulBBx6YQ3qY3ci34RadtN,She's In Love With The Boy - Single Version,['Trisha Yearwood'],Trisha Yearwood,1991-01-01,1991,248200,False,71,0.7829999999999999,0.698,3,-8.267999999999999,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.99600000000001,"1 ContributorWomen of Country LyricsKelsea Ballerini - Dibs
Dolly Parton - Jolene
Clare Dunn - More
Lauren Alaina - Ladies In The '90s
Dixie Chicks - Cowboy Take Me Away
Carrie Underwood - End Up With You
RaeLynn - Rowdy
Reba McEntire - Stronger Than The Truth
Maren Morris - GIRL
Cassadee Pope - If My Heart Had A Heart
Carrie Underwood - Church Bells
RaeLynn - Tailgate
Miranda Lambert - Somethin' Bad ((Duet with Carrie Underwood))
Dixie Chicks - Landslide
Maren Morris - The Bones
Maddie & Tae - Friends Don't
Danielle Bradbery - Worth It
Faith Hill - Breathe
RaeLynn - Lonely Call
Maren Morris - My Church
neonPPL - Beyoutiful (feat. Lindsay Ell, Danielle Bradbery, Joy Williams)
Kacey Musgraves - Butterflies
Shania Twain - Man! I Feel Like A Woman!
Maddie & Tae - Tourist In This Town
Caylee Hammack - Family Tree
Kelsea Ballerini - I Hate Love Songs
Kacey Musgraves - Follow Your Arrow
Sara Evans - Suds in the Bucket
Maddie & Tae - Die From A Broken Heart
Ingrid Andress - Lady Like
Shania Twain - Any Man Of Mine
Miranda Lambert - Mama's Broken Heart
Sara Evans - A Little Bit Stronger
Cam - Burning House
RaeLynn - Love Triangle
Kacey Musgraves - Lonely Weekend
Kelsea Ballerini - Miss Me More
Lauren Alaina - Doin' Fine
Trisha Yearwood - For the Last Time
Maren Morris - I Could Use a Love Song
Kacey Musgraves - Rainbow
Reba McEntire - Fancy
Kelsea Ballerini - Legends
Trisha Yearwood - Perfect Love (Single Version)
Maren Morris - Rich
Kacey Musgraves - Merry Go 'Round
RaeLynn - Queens Don't
Cam - Diane
Trisha Yearwood - She's In Love With The Boy
Maren Morris - 80s Mercedes
Clare Dunn - Put You Into Words
Reba McEntire - The Night The Lights Went Out In Georgia
Cam - Palace (Cover)
Carly Pearce - Closer To You
Cassadee Pope - One More Red Light
Tenille Townes - White Horse
Reba McEntire - In His MindEmbed"
2,country,3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,['Travis Tritt'],Down The Road I Go,2000-10-01,2000,241533,False,74,0.595,0.653,7,-4.935,1,0.0265,0.24600000000000002,0.0,0.264,0.542,128.93,"10 ContributorsIt’s A Great Day To Be Alive Lyrics[Verse 1]
I got rice cookin' in the microwave
Got a three day beard I don't plan to shave
And it's a goofy thing but I just gotta say, hey
I'm doin' alright

[Verse 2]
Yeah I think I'll make me some homemade soup
I'm feelin' pretty good and that's the truth
It's neither drink nor drug induced, no
I'm just doin' alright

[Chorus]
And it's a great day to be alive
I know the sun's still shining
When I close my eyes
There's some hard times in the neighborhood
But why can't every day be just this good

[Verse 3]
It's been fifteen years since I left home
And said good luck to every seed I'd sown
Gave it my best and then I left it alone
I hope they're doin' alright

[Verse 4]
Now I look in the mirror and what do I see
A lone wolf there starin' back at me
Long in the tooth but harmless as can be
Lord I guess he's doing alright
