playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Contemporary Country,3DA4SE262k6rdEtlHteNyq,Die From A Broken Heart,['Maddie & Tae'],The Way It Feels,2020-04-10,2020,188320,False,73,0.596,0.522,9,-6.633,1,0.0358,0.373,0.0,0.291,0.443,76.042
The Sound of Contemporary Country,3qTmB5HxP9ilJaiM6B1yuk,Five More Minutes,['Scotty McCreery'],Seasons Change,2018-01-12,2018,241146,False,72,0.494,0.634,7,-4.933,1,0.0282,0.259,1.15e-06,0.109,0.28,156.03
The Sound of Contemporary Country,6uyiyatWPCqC59Mm4rO8xL,One Of Them Girls,['Lee Brice'],Hey World,2020-11-20,2020,188893,False,77,0.643,0.79,4,-6.079,1,0.0461,0.29,0.0,0.107,0.808,95.981
The Sound of Contemporary Country,2dPwBKr5uJeCeyd5IoWi8W,We Don't Fight Anymore,"['Carly Pearce', 'Chris Stapleton']",We Don't Fight Anymore,2023-06-16,2023,220145,False,75,0.619,0.564,4,-6.517,1,0.0302,0.673,0.0,0.184,0.419,129.944
The Sound of Contemporary Country,4nxgA1nvXvTkmsBY0vJV57,Road Less Traveled,['Lauren Alaina'],Road Less Traveled,2017-01-27,2017,216266,False,62,0.611,0.886,0,-4.673,1,0.0343,0.0551,1.1e-06,0.247,0.27,112.988
The Sound of Contemporary Country,3un2KQUaQ2brEpd8dK93wI,Beat of the Music,['Brett Eldredge'],Bring You Back,2013-08-06,2013,179293,False,63,0.629,0.808,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001
The Sound of Contemporary Country,200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,['Cole Swindell'],Stereotype,2022-04-08,2022,206106,False,78,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944
The Sound of Contemporary Country,4w95iGC6NrxZJ5o3D7bWyV,Eyes On You,['Chase Rice'],Lambs & Lions,2017-11-17,2017,182493,False,70,0.34,0.652,9,-6.982,1,0.0427,0.323,0.0,0.201,0.464,88.783
The Sound of Contemporary Country,3ts6xK5GzfMAAriT9AIBmP,Barefoot Blue Jean Night,['Jake Owen'],Barefoot Blue Jean Night,2011-08-26,2011,167426,False,74,0.599,0.807,4,-4.679,1,0.0402,0.202,0.0,0.196,0.812,172.017
The Sound of Contemporary Country,3YM0vEH7taFj7OLW3dWfiu,Love Triangle,['RaeLynn'],WildHorse,2017-03-24,2017,225626,False,59,0.686,0.525,2,-6.721,1,0.0331,0.135,0.0,0.11,0.322,132.927
The Sound of Contemporary Country,7cA3PnUQDlUyBBwpRozQeo,One Man Band,['Old Dominion'],Old Dominion,2019-10-25,2019,186240,False,77,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991
The Sound of Contemporary Country,2oyJMZrw1DGvvkT2NbCZ0Y,Are You Gonna Kiss Me Or Not,['Thompson Square'],Thompson Square,2011-02-08,2011,184920,False,67,0.485,0.701,8,-3.807,1,0.0288,0.039,0.0,0.0977,0.613,151.948
The Sound of Contemporary Country,4lcXNTm9JrQpJYXqsENmFI,Redneck Crazy,['Tyler Farr'],Redneck Crazy,2013-09-27,2013,216040,False,58,0.487,0.667,7,-4.216,0,0.0309,0.153,0.0,0.161,0.463,145.854
The Sound of Contemporary Country,6Ymvlzom4TQeoKqAWsZRD8,Somethin' 'Bout A Truck,['Kip Moore'],Up All Night,2012-01-01,2012,213826,False,71,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01
The Sound of Contemporary Country,5eUpUFdFaAeovPau6lQkqK,Thinking 'Bout You (feat. MacKenzie Porter),"['Dustin Lynch', 'MacKenzie Porter']",Blue In The Sky,2022-02-11,2022,171626,False,76,0.364,0.745,8,-3.293,1,0.0596,0.146,0.0,0.0887,0.785,203.912
The Sound of Contemporary Country,2T6LorlhK71uT66I6lJegX,Stop Draggin' Your Boots,['Danielle Bradbery'],In Between: The Collection,2022-03-04,2022,164347,False,57,0.463,0.76,2,-5.958,1,0.11,0.0379,0.0,0.115,0.65,123.899
The Sound of Contemporary Country,6vsa5VDsIaWC8oJnowU65l,This Town's Been Too Good To Us,['Dylan Scott'],This Town's Been Too Good To Us,2023-06-02,2023,191626,False,80,0.696,0.555,11,-7.035,1,0.0353,0.0603,0.0,0.175,0.577,104.989
The Sound of Contemporary Country,11qh54D0PKkBwelpDxxiEU,Girl Crush,['Little Big Town'],Pain Killer,2014-10-21,2014,193320,False,71,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788
The Sound of Contemporary Country,1nVLAEzhBXMJLR5zAl90Nl,Crazy Girl,['Eli Young Band'],Life At Best,2011-01-01,2011,200706,False,71,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343
The Sound of Contemporary Country,0r8iDf65NHgFgZOGLwj5r8,What Was I Thinkin',['Dierks Bentley'],Dierks Bentley,2003-01-01,2003,260826,False,73,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857
The Sound of Contemporary Country,00KyYtT6NaXwbPecina5Pj,Famous Friends,"['Chris Young', 'Kane Brown']",Famous Friends,2021-08-06,2021,166506,False,68,0.535,0.859,6,-2.922,1,0.0344,0.0528,0.0,0.32,0.698,102.008
The Sound of Contemporary Country,6XD3HMATLswheYevIfKkSi,All Over The Road,['Easton Corbin'],All Over The Road,2012-01-01,2012,163066,False,70,0.491,0.841,5,-3.579,1,0.0421,0.0471,0.0,0.0886,0.721,199.851
The Sound of Contemporary Country,3mkE4LX6ozOcvKEC7chB2q,"You, Me, And Whiskey","['Justin Moore', 'Priscilla Block']",Stray Dog,2023-05-05,2023,187941,False,68,0.555,0.88,0,-4.351,0,0.0535,0.0803,0.0,0.174,0.422,144.076
The Sound of Contemporary Country,4uJDDG8vXJ6fZHtTfrPfMX,She Likes It (feat. Jake Scott),"['Russell Dickerson', 'Jake Scott']",Russell Dickerson,2022-11-04,2022,163311,False,64,0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877
The Sound of Contemporary Country,66rVt7PbwyKlu6CK6rxyAi,Friday Night,['Eric Paslay'],Eric Paslay,2014-01-01,2014,167213,False,62,0.657,0.841,9,-4.188,1,0.0452,0.16,0.0,0.177,0.722,120.009
The Sound of Contemporary Country,0p1BcEcYVO3uk4KDf3gzkY,Wanted,['Hunter Hayes'],Hunter Hayes (Encore),2011-01-01,2011,228840,False,68,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784
The Sound of Contemporary Country,4HeViKsdSOLkOvwfcRVkK8,Mamaw's House,"['Thomas Rhett', 'Morgan Wallen']",20 Number Ones (Bonus Version),2023-09-29,2023,187269,False,69,0.559,0.704,2,-7.686,1,0.0338,0.0177,0.0,0.0821,0.422,89.985
The Sound of Contemporary Country,2mXsZsJBThTaJXbNcg5QD4,Mama's Broken Heart,['Miranda Lambert'],Four The Record,2011-11-01,2011,177773,False,71,0.768,0.809,4,-4.204,0,0.0616,0.278,0.0,0.139,0.748,111.989
The Sound of Contemporary Country,6tbNaE7kvGNqS7FvJ0dzLB,I Got the Boy,['Jana Kramer'],thirty one,2015-10-09,2015,201013,False,57,0.625,0.569,0,-5.954,1,0.0271,0.26,0.0,0.127,0.361,149.987
The Sound of Contemporary Country,7yNJCsUH3tXlpQiHSsAc5l,"Big, Big Plans",['Chris Lane'],"Big, Big Plans",2019-06-28,2019,187306,False,66,0.574,0.58,7,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974
The Sound of Contemporary Country,4u26EevCNXMhlvE1xFBJwX,If I Die Young,['The Band Perry'],The Band Perry,2010-01-01,2010,222773,False,70,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739
The Sound of Contemporary Country,5hVSPIeAwc86xbKDWWpOAM,One Big Country Song,['LOCASH'],Brothers,2019-03-29,2019,193026,False,60,0.547,0.822,5,-2.85,1,0.0334,0.602,0.0,0.107,0.553,81.981
The Sound of Contemporary Country,3Qbjo8ezZdQg1NfPcCo4UV,Note to Self,['Randy Houser'],Note To Self,2022-11-11,2022,195217,False,72,0.613,0.626,1,-6.486,1,0.0332,0.11,0.000914,0.112,0.188,84.984
The Sound of Contemporary Country,10M2Ex445zw585Ducldzkw,In Case You Didn't Know,['Brett Young'],Brett Young,2017-02-10,2017,224853,False,77,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986
The Sound of Contemporary Country,0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,['Sugarland'],The Incredible Machine,2010-01-01,2010,247586,False,65,0.702,0.795,1,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961
The Sound of Contemporary Country,7GQjJEwqlp6m5HNWVQd6OR,Good Directions,['Billy Currington'],Doin' Somethin' Right,2005-01-01,2005,215853,False,75,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512
The Sound of Contemporary Country,19zb0fxeiJqCLYHj6L8iYG,Suds in the Bucket,['Sara Evans'],Restless,2003-01-01,2003,227266,False,45,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992
The Sound of Contemporary Country,4j5ffIFh7bFT7GZciP1TCy,"10,000 Hours (with Justin Bieber)","['Dan + Shay', 'Justin Bieber']",Good Things,2021-08-13,2021,167693,False,74,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991
The Sound of Contemporary Country,7a3XRLkMcey2dexkB4sC8O,Little Bit of You,['Chase Bryant'],Chase Bryant,2014-01-01,2014,186240,False,55,0.612,0.865,1,-4.277,1,0.0424,0.0639,0.0,0.0801,0.643,121.972
The Sound of Contemporary Country,2WKLUgklz0VDX5bKTZ3eYD,Buy Me a Boat,['Chris Janson'],Buy Me a Boat,2015-10-30,2015,179077,False,70,0.574,0.745,2,-6.663,1,0.0507,0.319,0.0,0.11,0.693,154.042
The Sound of Contemporary Country,1jX9wlAgVkAl0fCZqkCI73,IF YOU GO DOWN (I'M GOIN' DOWN TOO),['Kelsea Ballerini'],SUBJECT TO CHANGE,2022-09-23,2022,166035,False,72,0.676,0.856,11,-4.35,1,0.0393,0.454,0.0,0.141,0.965,144.092
The Sound of Contemporary Country,7dFSHwa7BNZvWlOuYsvFpy,Red High Heels,['Kellie Pickler'],Small Town Girl,2006-10-31,2006,222853,False,54,0.626,0.842,5,-3.74,1,0.0337,0.13,0.0,0.0734,0.54,115.72
