playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Pop,1V6gIisPpYqgFeWbMLI0bA,Heart Attack,['Demi Lovato'],Demi,2013-01-01,2013,210840,False,85,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968
The Sound of Pop,0K6iKgHPPhAb4Acmg9aD77,On My Love,"['Zara Larsson', 'David Guetta']",On My Love (Sped Up),2023-09-12,2023,222911,False,76,0.492,0.688,10,-4.989,0,0.046,0.0724,0.0029,0.0881,0.316,123.069
The Sound of Pop,4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),"['Bebe Rexha', 'Florida Georgia Line']",Expectations,2018-06-22,2018,164205,False,77,0.642,0.772,10,-6.61,1,0.0848,0.0476,0.0,0.0646,0.589,153.995
The Sound of Pop,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,['Kesha'],Animal (Expanded Edition),2010-01-01,2010,199693,False,86,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028
The Sound of Pop,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",['Ellie Goulding'],Delirium (Deluxe),2015-11-06,2015,252534,False,80,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857
The Sound of Pop,7DSAEUvxU8FajXtRloy8M0,Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-08-18,2023,200600,False,94,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048
The Sound of Pop,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,['Halsey'],Manic,2020-01-17,2020,201660,True,84,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
The Sound of Pop,5NQJnRpJHRaupdegphntQT,Jealous - Remix,"['Nick Jonas', 'Tinashe']",Nick Jonas X2,2015-11-20,2015,222186,True,72,0.684,0.71,11,-3.614,0,0.0779,0.0132,0.0,0.444,0.451,93.007
The Sound of Pop,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),"['Fifth Harmony', 'Ty Dolla $ign']",7/27 (Deluxe),2016-05-27,2016,214480,False,80,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017
The Sound of Pop,22vgEDb5hykfaTwLuskFGD,Sucker,['Jonas Brothers'],Happiness Begins,2019-06-07,2019,181026,False,83,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958
The Sound of Pop,0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,['Alessia Cara'],Know-It-All,2015-11-13,2015,230240,False,82,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085
The Sound of Pop,0QHEIqNKsMoOY5urbzN48u,Made You Look,['Meghan Trainor'],Takin' It Back,2022-10-21,2022,134256,False,85,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
The Sound of Pop,2BgEsaKNfHUdlh97KmvFyo,2002,['Anne-Marie'],Speak Your Mind (Deluxe),2018-04-27,2018,186986,False,84,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133
The Sound of Pop,1M8U7UHu9rhwumTu8IrqeD,Praising You (feat. Fatboy Slim),"['Rita Ora', 'Fatboy Slim']",You & I,2023-07-14,2023,164693,False,74,0.689,0.788,8,-4.978,1,0.084,0.07,0.0,0.246,0.656,122.968
The Sound of Pop,6KHL1En9v6iNWjcs44mcmU,Secret Love Song (feat. Jason Derulo),"['Little Mix', 'Jason Derulo']",Get Weird (Expanded Edition),2015-11-06,2015,249810,False,78,0.529,0.614,9,-5.032,1,0.0479,0.215,0.0,0.277,0.141,92.972
The Sound of Pop,2ogKhhoMClkFXek7ZgxAhN,Shameless,['Camila Cabello'],Romance,2019-12-06,2019,219742,False,86,0.377,0.651,4,-5.437,0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607
The Sound of Pop,5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)","['Hailee Steinfeld', 'Alesso', 'Florida Georgia Line', 'WATT']","Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,2017,174800,False,78,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07
The Sound of Pop,6I9VzXrHxO9rA9A5euc8Ak,Toxic,['Britney Spears'],In The Zone,2003-11-13,2003,198800,False,86,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
The Sound of Pop,3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),['Katy Perry'],Teenage Dream,2010-01-01,2010,230733,False,79,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023
The Sound of Pop,1rW6UUZRQWW34j4zCQDkfX,Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",Sweet Talker,2014-10-13,2014,199373,False,46,0.706,0.783,0,-3.441,0,0.1,0.315,0.0,0.373,0.739,150.045
The Sound of Pop,7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,['Shawn Mendes'],Illuminate (Deluxe),2017-04-20,2017,199440,False,89,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998
The Sound of Pop,3NxWJWftvkstyxvb1pZlFo,Teeth,['5 Seconds of Summer'],CALM,2020-03-27,2020,205502,False,80,0.745,0.454,3,-2.986,0,0.0392,0.0437,3.47e-06,0.0741,0.43,139.007
The Sound of Pop,5xEM5hIgJ1jjgcEBfpkt2F,Complicated,['Avril Lavigne'],Let Go,2002-06-04,2002,244506,False,83,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987
The Sound of Pop,55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),"['ZAYN', 'Taylor Swift']",reputation Stadium Tour Surprise Song Playlist,2017-11-09,2017,247160,False,86,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97
The Sound of Pop,4OMJGnvZfDvsePyCwRGO7X,Houdini,['Dua Lipa'],Houdini,2023-11-09,2023,185917,False,95,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985
The Sound of Pop,72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),"['Clean Bandit', 'Zara Larsson']",What Is Love? (Deluxe Edition),2018-11-30,2018,212733,False,80,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956
The Sound of Pop,6iF4RgIjDvDqyW13PezSj3,Single Soon,['Selena Gomez'],Single Soon,2023-08-25,2023,171655,False,85,0.61,0.571,2,-5.649,1,0.0782,0.00863,0.0,0.131,0.747,105.01
