playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Rap,2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,"['Gucci Mane', 'Bruno Mars', 'Kodak Black']",Evil Genius,2018-12-07,2018,203161,True,77,0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.367,0.367,143.01
The Sound of Rap,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),"['A$AP Rocky', 'Skepta']",TESTING,2018-05-25,2018,205040,True,85,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
The Sound of Rap,2XHzzp1j4IfTNp1FTn7YFg,Love Me,"['Lil Wayne', 'Drake', 'Future']",I Am Not A Human Being II (Deluxe),2013-01-01,2013,255053,True,88,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906
The Sound of Rap,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),"['Meek Mill', 'Drake']",Championships,2018-11-30,2018,180522,True,81,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003
The Sound of Rap,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,['J. Cole'],2014 Forest Hills Drive,2014-12-09,2014,292799,True,91,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
The Sound of Rap,6LVNGPtSPpc4KDFjvLS8c1,Long Story Short,"['2 Chainz', 'Lil Wayne']",Welcome 2 Collegrove,2023-11-17,2023,210338,True,64,0.843,0.85,2,-4.577,1,0.217,0.266,0.0,0.414,0.571,136.969
The Sound of Rap,5oady7OSE7dH7LHiqmb3Cr,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)","['A$AP Ferg', 'Brent Faiyaz', 'Salaam Remi']",Floor Seats,2019-08-16,2019,222986,True,79,0.737,0.597,7,-7.333,1,0.119,0.292,0.0,0.13,0.449,92.049
The Sound of Rap,1cMMVJ4FDqhCci9efd1BU6,Need It (feat. YoungBoy Never Broke Again),"['Migos', 'YoungBoy Never Broke Again']",Culture III,2021-06-11,2021,195680,True,79,0.852,0.747,11,-3.666,0,0.169,0.0311,0.0,0.0789,0.898,148.005
The Sound of Rap,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),"['Future', 'Drake', 'Tems']",I NEVER LIKED YOU,2022-04-29,2022,189893,True,85,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389
The Sound of Rap,4ea9w8c4ROqiZpJVhfBA3m,Hot (Remix) [feat. Gunna and Travis Scott],"['Young Thug', 'Travis Scott', 'Gunna']",So Much Fun (Deluxe),2019-12-20,2019,279906,True,78,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983
The Sound of Rap,1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,"['JAY-Z', 'Kanye West']",Watch The Throne,2011-08-08,2011,219333,True,87,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
The Sound of Rap,7FYH5AW3bVfZHJIQpq3UOA,I Don't Fuck With You,"['Big Sean', 'E-40']",Dark Sky Paradise,2015-02-24,2015,284386,True,78,0.824,0.733,1,-5.474,1,0.0613,0.0362,0.0,0.325,0.395,97.972
The Sound of Rap,4vVjPTApwXZwB2H3mBq3ml,HOTEL LOBBY (Unc & Phew),"['Quavo', 'Takeoff']",Only Built For Infinity Links,2022-10-07,2022,142657,True,80,0.825,0.649,11,-4.297,1,0.169,0.117,0.0,0.232,0.143,127.978
The Sound of Rap,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",See You Again (feat. Charlie Puth),2015-01-01,2015,229525,False,86,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025
The Sound of Rap,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,"['French Montana', 'Swae Lee']",Jungle Rules,2017-07-14,2017,233901,True,88,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985
The Sound of Rap,4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,['Rae Sremmurd'],SremmLife,2015-01-06,2015,206306,True,82,0.732,0.69,0,-4.992,0,0.134,0.291,0.0,0.116,0.758,143.072
The Sound of Rap,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),"['Offset', 'Metro Boomin']",Without Warning,2017-10-30,2017,172800,True,87,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007
The Sound of Rap,0aMHIW1lqrulVCx0LLlr6a,Cocoa Butter Kisses,"['Chance the Rapper', 'VIC MENSA', 'Twista']",Acid Rap,2013-04-30,2013,307187,True,71,0.679,0.645,6,-7.777,0,0.222,0.0518,0.0,0.145,0.203,125.795
The Sound of Rap,52eIcoLUM25zbQupAZYoFh,redrum,['21 Savage'],american dream,2024-01-12,2024,270697,True,96,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089
